"","value"
"426","<U+274D> 실제 제주도는 지난 4월 가파도, 마라도 등 도서지역 공적마스크 배송에 드론을 이용했다. 그 외에도 소나무 재선충병 감염목과 해안 괭생이모자반 흐름을 드론으로 촬영해 영상 지도를 제작하는가 하면, 2015년 낚시 어선 돌고래호 사고 시 실종자 수색에도 드론을 활용한 사례가 있다."
"427","<U+274D> 또한 농지 이용 실태, 경관 보전 직불 지역, 가축 사육 시설 등 현장 확인이 꼭 필요한 업무에 드론으로 현장을 촬영해 시간을 단축하고, 공간정보 업무포털에서 쉽게 열람하도록 함으로써 보다 원활한 현장 행정 업무가 가능하도록 지원한 바도 있다."
"428","<U+274D> 제주도는 지난 4월 해양환경 모니터링, 올레길 안심서비스, 월동작물 및 재선충 모니터링에 드론 기반 행정 혁신을 추진한 성과 등을 인정받아 드론실증도시 구축 사업에 지자체 중 유일하게 2년 연속 선정되기도 했다."
"429","<U+F071> 제주도는 앞으로 드론 규제 샌드박스와 함께 물류 배송 실증을 동시에 추진해 드론 산업의 핵심 기술을 실증하는 테스트베드로써의 역할을 수행할 방침이다."
"430","<U+F071> 이를 위해 오는 8월부터는 산업부(드론서비스 실증사업)와 공동으로 월1회 이상 드론을 이용한 물류 배송에 나설 계획이다."
"431","<U+274D> 원희룡 제주도지사는 지난 4월 드론을 활용한 공적마스크 배송을 추진하며 “첨단기술 융합 산업의 신동력으로 부상하고 있는 드론산업의 상용화 실증을 통해 제주 지역이 글로벌 스마트 도시의 표준을 제시하게 될 것”이라며 “조기 상용화와 도출된 규제 요소의 개선을 바탕으로 제주도를 명실상부한 드론 메카로 성장시키고 드론택시 등 도심항공교통(UAM) 실증도시 추진도 검토하겠다”라고 밝혔다."
"432","<U+274D> 제주지역의 다양한 고도의 산악 환경, 바다, 부속섬, 들판, 도심 내 상황 등의 실증 환경이 드론 배송의 원동력으로 활용될 예정이다."
"433","<U+274D> 특히 제주도는 올해 실제 상용화가 가능한 수준의 모델 발굴을 위해 한라산에서 응급환자 발생 시 긴급 구급물품을 드론으로 배송하는 서비스 등을 선보인다."
"434","<U+274D> 이와 함께 제주시 누웨ㅁㆍ루 거리 인근에서 위험 상황을 지인에게 알려주는 ‘스마트 드론 기반 도심 안심 서비스’도 테스트 한다."
"435","■ 제주특별자치도가 제주 탄소제로섬 실현을 위한 (재)기후변화센터와의 우호적인 협력관계를 약속했다."
"436","■ 제주특별자치도는 6월 4일 오전 11시 20분 제주도청 탐라홀에서 (재)기후변화센터 임원진과 기후변화 리더십 아카데미 수강생이 참석한 가운데 제주 카본프리 아일랜드 2030 정책 브리핑을 진행했다고 밝혔다."
"437","<U+274D> (재)기후변화센터는 정부·기업·학계·시민사회가 협력하여 기후변화 극복을 위해 창립된 비영리민간단체로 기후변화 리더십 아카데미 과정 운영, 기후변화 취약 개도국 지원, 신재생에너지 및 국제협력 관련 연구 사업 등을 추진하고 있다."
"438","■ 이날 행사는 포스트 코로나 시대를 준비하는 국내 기후위기 대응전략과 제주도의 역할 및 저탄소 정책 사례 등을 공유하기 위해 마련됐으며, 기후위기 대응을 위해 지속가능한 에너지 전환과 순환경제 모델 등에 관한 논의가 이루어졌다,"
"439","■ 원희룡 제주특별자치도지사는 인사말을 통해 “코로나19가 기후변화에 따른 연쇄적인 파동이라 보는 많은 분들이 염려하고 있다”면서 “코로나19 위기극복 뿐만 아니라 자연의 주기적인 위협을 막기 위해서는 기후변화에 대응하는 근본적이고 지속되는 활동이 필요하다”고 밝혔다."
"440","<U+274D> 이어 “제주도는 2030년까지 화석연료를 사용하는 교통수단을 줄이는 카본프리 아일랜드 조성 목표를 가지고 있다”며 “기후변화에 대응하는 녹색성장은 청정제주가 가야하는 운명적인 길이라고 생각하고 계속 진행해 나가겠다”고 강조했다."
"441","<U+274D> 아울러 “코로나19 방역 경험 위에서 녹색성장과 코로나19 대응이 융합되면 제주는 안전하고 청정한 국제도시로 발전할 것”이라며 “카본프리 아일랜드 2030이 대한민국의 미래 선도 사업으로 자리 잡을 수 있도록 그린리더들의 많은 협조와 성원을 바란다”고 당부했다."
"442","■ 이날 행사에는 원희룡 지사를 비롯해 강창희 (재)기후변화센터 명예이사장(前 국회의장), 최재철 공동대표(前 외교부 기후변화대사), 김창섭 공동대표(現 한국에너지공단 이사장) 등 기후변화센터 임직원 및 리더십 아카데미 수강생 23명이 참석했다."
"443","■ 한편 제주도는 기후변화에 대응하기 위해 2030년까지 온실가스 배출전망치 대비 33% 감축을 목표로 한 「2030 제주특별자치도 온실가스 감축 로드맵」을 수립했으며, 신재생에너지, 전기차 보급 등 28개 세부감축수단에 대해 매년 이행점검을 하고 있다."
"444","* 2020년 온실가스 감축목표량: 541,194톤CO2eq (2019년 대비 31% 증)"
"445","■ 제주지역 6개 보건소에 초스피드 워크스루가 설치된다."
"446","■ 제주특별자치도는 오늘(2일)부터 오는 5일까지 도내 6개 보건소*에 다목적 양방향 검체 채취부스(일명 ‘초스피드 워크스루’)를 각각 1대씩 설치한다고 밝혔다."
"447","* 제주시보건소, 제주시동부보건소, 제주시서부보건소, 서귀포시보건소, 서귀포시동부보건소, 서귀포시서부보건소"
"448","<U+274D> 이는 최근 등교 개학과 동시에 수도권 지역 등에서 감염이 확산됨에 따라 코로나19 진단 검사 수요에 보다 선제적으로 대응하고, 의료 인력의 부담을 덜기 위해 마련됐다."
"449","<U+274D> 실제 초스피드 워크스루는 부스 내에 바이러스 차단 필터(음압, 양압)를 적용해 의료진이 레벨D 등의 보호 장비를 착용하지 않아도 된다. 보호복 착용 등의 의료진 부담을 덜고, 5분 내 간단한 소독 후 신속한 검체 채취가 가능하기 때문에 신속하고 안전한 진단방법으로 각광을 받고 있다."
"450","■ 이로써, 도내 양방향 검체 채취부스는 총 8대*로 늘어났다. 지난 3월 30일부터 제주국제공항에 설치해 운영 중인 워크스루 선별진료소를 비롯해 코로나19 방역 최전선에서 도민들의 건강을 책임지게 된다."
"451","* 제주공항 워크스루 선별진료소 2대(3.30 가동), 도내 6개 보건소 6대(6.2~6.5 설치)"
"452","<U+274D> 해당 부스에서는 ▲최근 14일 이내 해외방문 이력자 ▲입·출도자 중 37.5°C 이상 발열자 ▲도내 학생 및 교직원 중 코로나19 의심증상자 ▲수도권 확진자 동선 관련 업소 방문자 ▲요양원·요양병원·정신병원 등 코로나19 감염 고위험 시설 관계자 등을 대상으로 검체 채취*가 이뤄진다."
"453","※ 제주공항 워크스루 선별진료소 : 해외방문자 및 발열 증상자 대상 검체 채취"
"454","■ 이와 함께 제주도는 ▲양방향 검체채취 부스 내 냉방 장비 구비 ▲제주공항 워크스루 내 차광막 설치 ▲워크스루 선별진료소 내 에어컨·선풍기 등 냉방 장비 구비 등을 추진하며, 무더위에 대비한 방역 체계도 마련 중이다."
"455","<U+274D> 원희룡 지사는 지난 1일 ‘6월 소통과 공감의 날’에서 비대면 직원조회를 진행하며 “무더위가 다가오는 것에 따른 현실적인 방역 방안에 대해서 더 적극적이고 창의적인 방법들을 찾아 보겠다”면서 “코로나19 방역 최일선에서 땀 흘리는 워크스루 근무자들에게 에어컨 설치 등 방역 태세를 위한 지원을 아끼지 않겠다”고도 밝힌 바 있다."
"456","<U+274D> 제주도는 앞으로도 코로나19 상황을 예의 주시하며, 도민의 건강을 책임질 수 있도록 방역역량 제고에 총력을 기울일 방침이다."
"457","■ 한편, 지난 3월 30일부터 6월 1일까지 워크스루 진료소를 통해 총 1,738건의 검체 채취가 이뤄졌다."
"458","<U+274D> 도내 10번과 12번 확진자의 경우 입도 직후 제주국제공항에 마련된 워크스루에서 검체 채취 후 신속한 진단과 즉시 격리가 이뤄졌다. 2명의 확진자 외 모두 음성 판정을 받았다."
"459","■ 제주특별자치도가 ‘6월 소통과 공감의 날’ 행사를 제주도 도정 TV와 공식 유튜브 채널을 통해 진행했다고 1일 밝혔다."
"460","<U+274D> 제주도는 지난 5월에 이어 6월에도 코로나19 확산 방지를 위해 현장 행사가 아닌 비대면 온라인 방식으로 소통과 공감의 날을 진행했다."
"461","<U+274D> 특히 이날 원희룡 지사는 직접 공·항만 워크스루 검역소 및 읍면동 주민센터 현장 근무자와 통화하며 현장 상황을 점검하고 애로사항을 청취했다."
"462","■ 원희룡 제주특별자치도지사는 “공직자 여러분들의 노력 덕분에 제주는 선제적 방역을 이뤄냈으며, 제주의 방역 대책은 대한민국과 전 세계의 모범 사례로 평가받고 있다”며 공직자들의 노고에 대한 감사와 존경의 마음을 전했다."
"463","<U+274D> 이어 “제주형 생활 속 거리두기는 방역의 일상화를 뜻하는 것이지 코로나 이전의 생활로 돌아가는 것이 결코 아니”라며 “지속가능한 코로나19의 방역관리를 위해 제주도 방역 자원에 선택과 집중을 기하고, 공·항만에서의 특별입도절차 유지와 도민과 관광객 밀접한 시설에 대한 체계적인 방역대책을 지속적으로 가동하겠다”고 밝혔다."
"464","<U+274D> 아울러 “감염병과의 싸움에서 최대의 적은 방심”이라며 “한 순간의 방심은 지금까지 쌓아온 청정 제주의 위상을 물거품으로 만들 수 있기 때문에 끝까지 긴장을 늦추지 말아 달라”고 당부했다."
"465","■ 원희룡 지사는 코로나19 최전선에서 근무하고 있는 공직자들에게 직접 전화해 코로나19 방역 상황을 점검하고 근무 중 발생하고 있는 애로사항도 청취했다."
"466","<U+274D> 워크 스루 현장 근무자는 “무더위가 다가오면서 걱정이 많아지고 있다”면서 “코로나19 검사가 언제까지 지속될지 모르기 때문에 근무자들도 이에 따른 대비책을 강구할 필요가 있다”며 무더위에 따른 근무 애로사항을 밝혔다."
"467","<U+274D> 이에 원희룡 지사는 “에어컨 설치 등 무더위에 근무자들이 에너지를 빼앗기지 않도록 코로나 방역태세를 위한 지원을 아끼지 않겠다”고 답했다."
"468","■ 원희룡 지사는 끝으로 “당장의 코로나19의 방역도 중요하지만 코로나 이후 사회 변화에 대한 준비도 필요하다”며 “제주도정 전 분야에서 코로나 이후의 제주를 구체화시켜 나갈 수 있는 적극적인 법령 해석과 규제 완화 등 적극행정을 정착시켜야 할 때”라고 강조했다."
"469","■ 제주특별자치도가 6월 1일부터 시작되는 어린이집 재개원을 앞두고, 코로나19에 선제적으로 대응하기 위해 어린이용 초미세필터 여름용 인견마스크 10만매를 구입해 1차 배부를 완료했다."
"470","<U+274D> 보건복지부는 지난 5월 29일 전국 단위 어린이집 휴원 명령을 해제하고, 지역 내 감염 수준에 따라 지방자치단체별로 개원·휴원 등을 결정할 수 있도록 했다."
"471","<U+274D> 앞서 제주도는 지난 2월 25일부터 감염병 취약계층인 영유아 보호와 사회적 거리두기 강화를 위해 휴원을 결정한 바 있다."
"472","<U+274D> 제주도는 코로나19 장기화로 휴원 기간이 길어지면서 보호자들의 돌봄 부담이 가중되고, 긴급보육을 이용하는 비율이 83.4%(5월 29일 기준 긴급보육 이용 아동 1만 9,053명)에 이르는 등 조속히 재개원을 희망하는 보육 현장과 학부모들의 의견을 종합해 6월 1일부터 재개원에 돌입한다."
"473","<U+274D> 특히 재개원시 장기간 마스크 착용에 불편을 겪는 어린이들이 코로나19 감염증에 노출되는 문제를 해결하기 위해 이미 5월 초부터 유·아동 착용이 적합한 마스크를 확보해 지원하는 방안을 수립했다."
"474","■ 이번에 배부하는 10만매의 마스크는 제주지역 488개소(제주시 365, 서귀포시 123) 2만 2,837명의 원아들에게 1인당 4매씩 지원할 수 있는 분량이다."
"475","■ 제주도는 우선 지난 26일 도내 어린이집, 총 2만 2,837명의 원아들에게 총 4만6,596매의 어린이용 인견 마스크를 1차 배부했다. 이에 따라 어린이집 원아 1명당 인견 면 마스크가 2매씩 전달될 예정이다."
"476","<U+274D> 이번 마스크 지원은 6세 미만의 어린이인 점을 감안해, KF94 등 일반 보건용 마스크가 통기성이 불편하고 호흡하기 갑갑해 아동들이 벗어 버리는 불편함을 해소하기 위해 어린이용 인견마스크로 배부됐다."
"477","<U+274D> 제주도는 영유아의 장시간 착용 상황을 고려해 안전, 보건, 환경, 품질 등 국가통합(KC) 인증 제품을 선정했다. 어린이용 인견 마스크는 초미세필터가 장착되면서도 여름철 사용과 숨쉬기가 용이한 것으로 알려졌다. 1개당 최대 60일까지 사용이 가능하다."
"478","<U+274D> 이에 앞서 제주도는 앞서 긴급 돌봄을 실시하고 있는 어린이집의 위생관리를 위해 488개소에 전문업체를 이용한 방역을 실시했다."
"479","<U+274D> 더불어 지난 2월부터 4월 초까지 보육교직원과 아동 1인당 2매씩 사용할 수 있는 분량의 마스크 96,250매(아동용 85,014매, 성인용 11,236매)와 손소독제 57,130개, 락스 1,010개 등의 방역물품을 지원한 바도 있다."
"480","■ 또한 철저한 방역관리를 위해 어린이집 내 감염관리 책임자를 지정하는 등 유관기관 협조체계를 구성하고 방역 현황을 상시 모니터링 할 수 있는 비상연락체계를 구축했다."
"481","■ 원희룡 제주도지사는 “아이와 학부모가 걱정 없는 안전한 보육환경 조성에 최선을 다하겠다”며 “최근 수도권을 중심으로 발생하고 있는 지역사회 감염은 누구나 접근 가능한 장소에서 나타나는 만큼 도민 모두가 개인위생 및 방역수칙 준수에 동참해 달라”고 강조했다."
"482","<U+274D> 제주도는 코로나19 감염 우려로 아동이 결석하게 되는 경우에도 출석으로 처리하는 출석 특례는 휴원 시와 동일하게 인정해, 보육료를 전면 지원 받도록 방침을 정했다."
"483","<U+274D> 어린이집이 재개원 하더라도 발열 또는 호흡기 증상이 있는 아동과 보육교직원은 집에서 쉬도록 하는 등 생활 속 거리두기 방역수칙은 지속적으로 준수해야 한다."
"484","<U+274D> 어린이집에서 특별활동을 불가피하게 실시할 경우에는 보호자의 동의하에 방역수칙 준수, 물품 교차 사용 금지, 외부 강사 동선 제출·확인 등을 이행해야 한다."
"485","<U+274D> 또 외부인 출입 시에는 코로나19 발생장소 방문이력, 발열 확인, 호흡기 증상 등을 필수적으로 확인해 기록해야 한다."
"486","■ 제주도는 앞으로 어린이집 대응지침 준수 여부 등 방역사항 이행 여부를 철저히 모니터링 하는 한편, 시설 내 자체 방역을 실시할 수 있도록 2억 2500만원의 예산을 편성하고 분사형 방역기와 소독제도 지원할 계획이다."
"487","<U+274D> 또한 도 보육연합회를 비롯해 도내 어린이집과 협의해 추후 2차 마스크 배부도 진행할 예정이다."
"488","■ 제주특별자치도는 집합금지명령을 받았음에도 불구하고 오늘(30일) 행사 개최를 강행하려 했던 ‘제1회 더킹 전국홀덤토너먼트 대회’ 현장에 보건당국 관계자 등을 파견해 주최 측과 협의한 결과 최종 취소 결정을 받아냈다고 밝혔다."
"489","<U+274D> 다만, 제주도는 역학조사관 등을 현장에 배치해 철저한 방역지침을 준수하는 조건으로 주최 측이 마련한 뷔페를 허용해 주었다."
"490","■ 제주도는 29일 집합금지명령서를 전달한 데 이어 만일의 사태를 대비하기 위해 30일 보건당국 관계자와 자치경찰 등의 인력을 현장에 파견해 주최 측의 대회 강행을 막았다."
"491","■ 원희룡 지사는 “수도권을 비롯해 지역 연쇄 전파의 가능성을 차단하고 선제적 방역 관리 필요성에 따라 집합금지명령을 발동했다”며 “앞으로도 코로나19 차단 방역을 위해 밀집도 높은 대규모 실내행사 개최는 최대한 자제해야 한다”고 밝혔다."
"492","<U+274D> 앞서 제주도는 쿠팡 물류센터 등 수도권 지역 감염이 악화되는 상황 속에서 밀폐된 공간에서 전국 단위 대회 개최로 연쇄 전파에 대한 우려가 존재하는 점과, 홀덤 등 카드게임 경기의 특성상 1m 이상 거리두기 등 방역 수칙 준수가 어렵다는 상황을 고려해 집합금지 명령서를 29일 주최 측에 전달했다."
"493","<U+274D> 주최 측은 당초 집합금지명령에도 손해 발생 및 촉박한 행사 일정 등을 이유로 금일 오전 계획대로 행사를 진행하려 했으나 제주도와 제주시, 서부보건소 등 현장 방문을 통해 제주특별자치도의 방역사항을 강력히 권고한 끝에 행사 취소를 최종 결정했다."
"494","<U+274D> 제주특별자치도는 행사가 진행되는 현장을 방문해 “대회 개최 후 코로나19 확진 환자 발생 시 책임 추궁을 강력 권고하고, 지역 감염 우려 상황 속 행사를 수용할 수 없다”는 입장을 재차 전달한 것으로 알려졌다."
"495","<U+274D> 더불어 만일의 사태를 위해 국가경찰과 자치경찰 등 70여명의 경찰병력을 동원해 1m 이상 거리두기 등 현장 질서 유지 활동을 진행했다. 현장에서 물리적 충돌 상황은 발생하지 않았다."
"496","<U+274D> 행사 주최 측은 오후 12시 5분경 방송을 통해 참가자들에게 행사 취소를 알렸다."
"497","■ 제주특별자치도는 앞으로도 코로나19 방역활동에 피해와 손해를 입힐 경우 감염병예방법 등 관련 법률에 의거해 행정 처분을 진행하고, 더불어 민사상 손해배상을 청구하는 등 엄정 대응에 나설 방침이다."
"498","■ 차기 제주의료원장 공모에 총 3명이 지원했다."
"499","■ 제주특별자치도는 현 제주의료원장의 임기가 오는 6월 20일자로 만료됨에 따라 제주의료원 경영개선과 공공의료 확충에 필요한 차기 제주의료원장을 지난 5월 25일부터 29일 오후 6시까지 공모한 결과 총 3명이 응모했다고 밝혔다."
"500","<U+274D> 공모 마감에 따라 제주특별자치도는 제주의료원 임원추천위원회를 구성해 서류전형과 면접심사를 실시할 계획이다."
"501","<U+274D> 이후 2명 이상의 임용 후보자를 원희룡 제주특별자치도지사에게 추천하고, 원희룡 지사는 추천된 후보자 중에서 1명을 최종 임명하게 된다."
"502","■ 임태봉 제주도 보건복지여성국장은 “제주의료원장은 지역거점공공병원인 제주의료원 운영 전반을 책임지는 자리”라며 “제주의료원을 안정적으로 이끌어 가기 위해 차질 없이 임용절차를 추진할 계획”이라고 말했다."
"503","■ 제주특별자치도가 도내에서 개최 예정이던 홀덤(포커 등 카드게임) 대회 주최 측 <U+2027> 참석자에 대해 대규모 인원 밀집 행사 집합 금지를 포함하는 ‘집합금지명령’을 발동했다."
"504","<U+274D> 제주도가 밀폐 공간에서 이뤄지는 행사에 대해 집합금지명령을 내린 것은 이번이 처음이다."
"505","<U+274D> 이는 홀덤 등 카드게임 경기의 특성상 1m 이상 거리두기 등 방역 수칙 준수가 어렵다는 판단에 따른 것이다."
"506","<U+274D> 특히 밀폐된 공간 내 대규모 인원이 장시간 동안 체류할 경우 감염병 취약도가 매우 높다는 것과, 현재 쿠팡 물류센터 등 수도권 지역 감염이 악화되는 상황 속에서 전국 단위 대회 개최로 연쇄 전파에 대한 우려가 존재하는 점 등이 고려됐다."
"507","■ 원희룡 제주특별자치도지사는 “수도권을 비롯해 확진자가 추가적으로 발생하는 상황 속에서 오늘(30일) 전국에서 약 150명이 참석하는 ‘제1회 더킹 전국홀덤토너먼트 대회’가 개최되고, 오는 6월과 7월 중에도 관련 대회가 예정됐다는 정보를 입수했다”며 “지역 연쇄 전파의 가능성을 차단하고 선제적 방역 관리 필요성에 따라 해당 명령을 시행하게 됐다”고 설명했다."
"508","<U+274D> 「감염병 예방 및 관리에 관한 법률(이하 감염병예방법)」제49조(감염병의 예방 조치)에 따르면 보건복지부장관, 시·도지사 또는 시장·군수·구청장은 감염병을 예방하기 위하여 다음 각 호에 해당하는 모든 조치*를 하거나 그에 필요한 일부 조치를 할 수 있다."
"509","※ 2. 흥행, 집회, 제례 또는 그 밖의 여러 사람의 집합을 제한하거나 금지하는 것"
"510","<U+274D> 또한 해당 집합금지명령 위반자*에는 감염병예방법 제80조 제7호 등에 따라 300만원 이하의 벌금을 징수할 수 있다."
"511","※ 제80조(벌칙) 다음 각 호의 어느 하나에 해당하는 자는 300만원 이하의 벌금에 처한다."
"512","<U+274D> 더불어 제주도는 코로나19 방역활동에 피해와 손해를 입힐 경우 감염병예방법 등 관련 법률의 행정처분과는 별도로 민사상 손해배상 등 비용도 청구해 엄정히 대응한다는 방침이다."
"513","■ 제주도는 이에 따라 이런 내용을 담은 집합금지 명령서(붙임 첨부)를 지난 29일 주최 측에 전달했다."
"514","<첨부><U+00A0> 집합금지 명령서"
"515","ㅁ<U+F071> 최근 정부가 추진 중인 한국형 뉴딜사업의 핵심주제인 ‘그린뉴딜’정책에 선제적으로 대응하고 탄소 없는 섬(이하, CFI) 제주를 만드는 실질적인 핵심 과제와 향후 계획을 점검하는 ‘2020 제1차 전문가 거버넌스(그린빅뱅포럼) 영상회의’가 29일 오후 2시 30분 개최됐다."
"516","<U+274D> 코로나19로 인해 온라인 영상회의로 진행된 이날 회의에는 원희룡 지사를 비롯해 김상협 KAIST교수(공동위원장), 박희경 KAIST 환경공학과 교수, 조홍식 서울대 법학대학원 교수, 정기용 외교부 기후환경과학외교국장, 김법정 환경부 국가기후환경회의 처장, 황우현 제주에너지공사 사장 등 20여명의 전문가가 참석했다."
"517","ㅁ<U+F071> ‘2020 제1차 제주그린빅뱅포럼’에서는 최근 한국형 뉴딜 정책의 주요 방향인 ‘그린 뉴딜’에 대한 전문가들의 의견과 제주도의 CFI 4대 정책목표와 연계한 CFI 추진체계 강화방안 및 실행 방안 등에 대한 논의가 이루어졌다."
"518","ㅁ<U+F071> 원희룡 지사는 이날 포럼에 참석해 제주발전을 위한 CFI 그린뉴딜의 정책 방향을 제시했다."
"519","<U+274D> 원희룡 지사는 “‘그린뉴딜’의 원조는 대한민국이고 또 우리 제주”라며 “제주도는 4천억 원이 넘는 세계적 규모의 스마트 그리드 시범사업지구로 선정되면서 ‘제주 그린빅뱅’전략을 전개해 신재생에너지 보급률 전국 1위, 전기차 보급률 전국 1위가 되었다”고 소개했다."
"520","<U+274D> 이어 “그린 빅뱅은 이제 ‘클린 그린 빅뱅, 청정 제주’로 거듭나야한다”며 “재생에너지를 사용한 깨끗한 에너지, 깨끗한 자동차(전기자동차), 깨끗한 디지털 기술을 이용한 스마트 그리드로 우리 생활공간을 더욱 깨끗하고 안전하게, 그러면서도 활력 있게 만들어 나갈 수 있다”고 말했다."
"521","<U+274D> 특히, 원희룡 지사는 “안토니오 쿠테헤스 UN사무총장이 코로나 바이러스를 극복하기 위해서는 '깨끗한 녹색전환(Clean Green Transition)이 필요하며 이것이 바로 그린뉴딜'이라고 역설했는데 저도 같은 생각”이라며 “우리가 이런 노력을 하는 이유는 다음 세대에게 이 세상을 살만한 곳으로 물려줄 책임이 있기 때문”이라고 강조했다."
"522","<U+274D> 끝으로 “제주 그린 빅뱅이 ‘청정 그린 뉴딜'을 선도하는 모범사례가 되도록 지혜와 힘을 보태달라 ”고 당부했다."
"523","ㅁ<U+F071> 이날 주제발표에 나선 정기용 국장은 “제주가 설정한 ‘그린빅뱅’목표와 정책은 지역차원이 아니라 국가적 브랜드로도 좋은 정책이라고 생각한다”며 “지자체 차원에서도 국제적인 연대를 통해 큰 정책 목표를 이룰 수 있다”고 밝혔다."
"524","ㅁ<U+F071> 제주도는 이날 포럼에서 신재생에너지 보급, 전기차 보급, 에너지 수요관리, 에너지산업 육성 정책에 대한 도정의 목표와 현실적 문제점, 향후 추진 계획에 대한 의견을 공유했다."
"525","<U+274D> 제주도는 2030년까지 도내 전력수요 100%를 대응하기 위해 태양광, 육상풍력, 해상풍력, 연료전지, 해양에너지, 바이오·폐기물에너지 등의 신재생에너지 설비를 도입하고 있지만, 전력계통 수용성 한계 등 새롭운 문제점들이 나타나고 있다며 이는 곧 제주뿐만 아니라 국가적 차원에서도 발생할 문제라는 점을 지적했다."
"526","ㅁ<U+F071> 한편, 원희룡 지사는 지난 2017년 스위스 다보스에서 개최된 세계경제포럼(다보스 포럼)에 참석해 에너지, 수송, 전력 계통, 빅데이터 등이 융합된 탄소 없는 섬 조성을 위한 에너지와 교통의 새로운 융합모델인 ‘그린빅뱅’ 사업을 소개한 바 있다."
"527","■ 제주특별자치도가 국토교통부 주관 ‘2020 스마트시티 챌린지 공모사업’사업대상지로 최종 선정됐다."
"528","<U+274D> 스마트시티 챌린지 사업은 지방자치단체와 민간기업, 대학 등의 창의적 아이디어를 활용해 도시문제를 해결할 수 있는 솔루션 서비스를 상품화하고 이를 확산해 신사업을 육성·지원하는 사업이다."
"529","<U+274D> 제주도는 2020 스마트시티 챌린지 공모사업으로 선정됨에 따라 대표 솔루션 실증 및 본 사업 계획 수립 등을 위해 15억원의 국비를 지원 받게 됐다."
"530","<U+274D> 또한 오는 12월에 진행된 성과 평가에서 우수 지자체 선정될 경우에는 총 200억 원 규모로 2년간 본 사업이 진행될 수 있다."
"531","■ 이번 공모에는 전국 18개 지자체가 참여했으며, 사업 전담 기관인 국토연구원의 서류심사를 통과한 8개 지자체를 대상으로 지난 26일 발표 평가를 실시했다. 종합 심사를 거쳐 제주를 비롯한 4개 지자체가 선정됐다."
"532","■ 제주인 경우 ㈜데일리블록체인 주관사업자로 GS칼텍스(주)외 10개사로 컨소시엄을 구성해 시민주도형 스마트허브 기반‘e-삼다(3DA)’미래(생활) 도시로 응모를 진행했다."
"533","※ 3DA: De-Carbon(저탄소), De-Centralization(분산), De-Struction(공유), Actor"
"534","※ 컨소시엄구성(12개사): ㈜데일리블록체인, GS칼텍스㈜, ㈜KT, ㈜진우소프트이노베이션, 메티스정보㈜, ㈜레즐러플러스, ㈜KST모빌리티, ㈜그린카, KAIST, 제주대학교, JDC"
"535","<U+274D> 이는 주유소, 편의점, 버스정류소를 스마트 허브로 삼고 신재생에너지와 e-모빌리티 공유 솔루션을 연계해 e-3DA 플랫폼을 구축 실증 하는 사업이다."
"536","<U+274D> 신재생에너지 잉여전력 활용, 스마트 충전 서비스, 라스트마일 모빌리티, 시민 커뮤니티 공간, 드론 안심서비스 등의 거점 ‘스마트 허브’구축으로 제주가 추진해온 신재생에너지, 전기차 선도도시, 드론규제 특구 사업 등을 연계해 제주형 스마트 시티를 실증하고 구현하는 것을 목표로 하고 있다."
"537","■ 원희룡 지사는 “제주의 스마트시티는 도민이 주도로 도시 문제를 해결해 삶의 질을 개선할 수 있도록 플랫폼을 제공하고, 스마트 허브를 중심으로 기회를 확대함으로써 4차산업 혁명을 선도할 가능성을 지니고 있다”며 “이번 사업이 스마트 실증 도시의 초석을 다지는 계기가 될 것”고 밝혔다."
"538","※ 최초 배포된<U+00A0>보도자료에서 행사일이 27일로 잘못 표시되어"
"539","26일로 정정하였습니다. 참고 바랍니다."
"540","ㅁ<U+F071> 원희룡 제주특별자치도지사가 26일 오후 6시 서울 중구 소공동 환구단에서 열린 ‘문화유산 방문 캠페인’선포식에 참석해 생활방역 속에서도 국민들에게 활력이 될 수 있는 문화유산 방문 캠페인에 제주도가 함께하겠다고 밝혔다."
"541","<U+274D> 이번 캠페인은 문화재청과 한국문화재단이 문화유산에 대한 국민의 관심을 유도하고 코로나19로 지친 국민들의 방문을 촉진해 내수경제 활성화를 모색하기 위해 마련됐다."
"542","<U+274D> 이날 행사에는 원희룡 지사를 비롯해 정세균 국무총리, 박양우 문화체육관광부장관, 정재숙 문화재청장, 이철우 경상북도지사를 비롯한 내빈 100여 명이 참석했다."
"543","ㅁ<U+F071> ‘참 만남, 참 문화유산(Feel the REAL KOREAN HERITAGE)'을 구호로 하는 문화유산 방문 캠페인은 문화유산과 사람 간 거리를 좁히고 문화유산을 국민을 위한 공간으로 만드는 것을 목표로 하고 있다."
"544","ㅁ<U+F071> 문화재청은 세계유산과 인류무형유산을 중심으로 주제의 유사성, 지역 근접성을 고려해 1박 2일 또는 2박 3일 일정으로 돌아볼 수 있는 '한국 문화유산의 길' 7개 코스를 선정했다."
"545","<U+274D> 한국 문화유산의 길은 '천년 정신의 길'(경주·안동), '백제 고도의 길'(공주·부여·익산), '소릿길'(전북·전남), '설화와 자연의 길'(제주), '왕가의 길'(서울·인천·경기) 등 5개 기본 코스와 세계유산으로 등재된 서원과 산사를 각각 묶은 '서원의 길', '수행의 길' 2개 테마 코스로 구성됐다."
