"","value"
"603","<U+F06D>○ 오전 9시에 시작하는 전체세션은 ‘미중 관계의 미래를 묻다: 투키디데스의 함정과 한반도의 운명’이라는 이름으로 운영된다."
"604","- 이는 문정인 대통령 통일외교안보특보를 좌장으로 미중관계의 세계적 석학 그레이엄 앨리슨 하버드대학교 석좌교수와 리자오싱 중국 외교부장, 마틴 자크 케임브리지대 선임연구원이 참석, 최근 갈등이 깊어진 미중 관계가 한반도에 미칠 영향과 중국의 부상이 세계 안보와 경제에 끼치는 영향에 대해 전망해 본다."
"605","<U+F06D>○ 오전 10시 20분에 열리는 개회식에는 조직위원장인 원희룡 제주특별자치도지사의 개회사에 이어 람족호이 아세안사무총장의 축사와 반기문 전 유엔 사무총장, 하인츠 피셔 전 오스트리아 대통령, 말콤 턴불 전 호주 총리, 하토야마 유키오 전 일본 총리 기조연설이 진행된다."
"606","<U+F06D>○ 11시 30분부터는 세계지도자 세션이 이어진다. 세계지도자들과 홍석현 중앙홀딩스 회장<U+00A0>참석,<U+00A0>아시아의 회복탄력적 평화 실현을 위한 세계 각국의 협력과 통합 방안을 논의한다."
"607","■ 포럼 마지막 날인 31일에는 원희룡 제주특별자치도지사와 헬렌 클라크 전 뉴질랜드 총리의 특별대담이 진행된다."
"608","<U+F06D>○ ‘회복탄력적 도시 만들기: 협력과 리더십의 역할’ 세션에서는 유엔개발계획 총재를 역임한 헬렌 클라크 전 뉴질랜드 총리와 원 지사가 대담을 통해 전 세계 도시들이 겪고 있는 다양한 문제를 점검하고 도시 간 협력을 통해 회복탄력적 도시로 나아가려는 방안을 공유할 계획이다."
"609","■ 이번 포럼 기간에는 평화 콘서트와 관광프로그램, DMZ사진전, 제주 전통차 체험 등의 부대행사도 예정돼 있다."
"610","■ 제14회 제주포럼의 사전 등록자는 현재까지 6,000여명으로 집계됐다."
"611","<U+F06D>○ 이는 전년보다 1,000명 이상 증가한 수치로 제주포럼에 대한 높은 기대감을 드러낸다."
"612","<U+F06D>○ 또한 일본 다마대학교 단체 참관단 50여 명 등 국·내외 학생들도 함께 참여해 미래세대에 대한 지식공유의 장이 될 것으로 예상하고 있다."
"613","■ 이번 14회 제주포럼은 제주포럼 전용 앱(App)과 온라인 생중계를 통해 주요 정보들이 실시간으로 제공될 예정이다."
"614","<U+F06D>○ 제주포럼 전용 앱은 전체 프로그램과 참석 연사 소개 등을 포함해 행사 당일의 공지사항을 빠르게 확인할 수 있다. 구글 플레이스토어 또는 앱스토어에서 ‘제주포럼’을 검색해 다운받을 수 있다."
"615","<U+F06D>○ 30일 10시 20분부터 진행되는 개회식은 지상파를 통한 생중계가 진행되며, 그 외 주요 세션도 제주포럼 홈페이지 및 애플리케이션 등을 통해 온라인 생중계된다."
"616","■ 조상범 문화체육대외협력국장은 “제주포럼이 다루는 주제는 평화와 번영에 대한 이슈에서 더 나아가 경제, 문화 등의 분야로까지 의제가 넓혀지고 있다”며 “앞으로도 제주포럼을 평화와 번영, 경제, 문화교류 모두를 아우르는 종합 포럼으로 정착 시키겠다”고 말했다."
"617","※ 붙임: 제주포럼(개요) 1부."
"618","■ 제주특별자치도는 ‘2019 도민행복 일자리 박람회’를 오는 5월 28일 오후 1시부터 제주한라체육관에서 개최된다고 26일 밝혔다."
"619","<U+00A0><U+274D> 이번 박람회에는 도내 기업 79개사와 청년·장애인·경력단절여성·중장년 등 1,000여명의 구직자가 참여할 예정이다."
"620","■ 제주특별자치도는 채용 효과를 극대화하기 위해 실제 채용 수요가 있는 기업을 구직자들에게 집중 소개할 계획이며,"
"621","<U+00A0> - 온라인을 통해 사전에 기업과 구직자를 연결해 현장에서 심층 면접을 통해 채용이 이루어 질 수 있도록 했다."
"622","■ 이번 박람회에는 적정 임금수준을 보장하는 인지도가 높은 중소기업과 대규모채용예정기업 등 79개 기업이 참여해, 270여명을 신규 채용할 계획이다."
"623","<U+00A0><U+274D> 참가 기업들의 업종은 기계, 전자, 화학 등 주요 제조업을 비롯해 서비스, 유통, 소프트웨어 등 비제조업 분야까지 다양하다."
"624","<U+00A0><U+274D> 현장에서 채용이 되지 않거나 간접채용하는 기업에 대해서는 제주고용센터에서 구직이 될 때까지 지속적인 구직대행서비스를 제공할 예정이다."
"625","■ 제주특별자치도는 특히, 4차산업혁명 시대의 트렌드를 반영해 인공지능(AI) 면접, 인공지능(AI) 자기소개서 상담(컨설팅) 등을 진행하고,"
"626","<U+00A0> - 구직자들을 대상으로 취업특강, 일자리 유관기관의 취업멘토링 등의 서비스를 제공한다."
"627","<U+00A0><U+274D> 인공지능 면접·상담 컨설팅 = 인공지능(AI) 현장 연결 시스템을 활용해 구직자의 희망에 따른 현장 면접을 함께 진행한다."
"628","<U+00A0><U+00A0> * 마이다스아이티(AI면접), 코멘토(AI자소서분석)"
"629","<U+00A0><U+274D> 취업특강 = 오후 1시부터 진행되는 취업특강은 KBS 개그콘서트와 1박2일 등을 연출한 서수민 피디(PD)가 ‘일단하자!’를 주제로 구직자들의 시각을 넓혀준다."
"630","<U+00A0><U+274D> 공직설명회 = 제주특별자치도와 인사혁신처, 제주특별자치도교육청이 함께 참여하는 공직설명회는 공직선배 1대 1멘토링, 모의면접 분야별 채용설명회가 진행돼 공무원을 꿈꾸는 특성화고 학생과 청년들의 궁금증을 해소시켜 준다."
"631","<U+00A0><U+274D> 구직자 취업 멘토링 = 23개 취업유관기관이 참여해 구직자들을 위한 직업교육 소개, 자기소개소 컨설팅, 지문인접성, 면접메이크업, 퍼스널컬러 이미지 컨설팅이 진행된다."
"632","<U+00A0><U+274D> 기업맞춤형 프로그램 = 박람회에 참여하는 기업이 현장에서 경영 컨설팅을 맞을 수 있도록 세무상담, 일자리 및 중소기업지원사업에 대한 맞춤형 컨설팅이 이뤄진다."
"633","■ 한편, 이번 박람회에서는 제주특별자치도와 제주지역경제단체협의회간 ‘1사 1도민 일자리 창출’ 협약이 체결된다."
"634","<U+00A0><U+274D> 협약은 청년들을 비롯한 장애인, 경력단절여성, 중장년 등 취업취약계층의 일자리 확충과 기업이 원하는 맞춤형 인력 지원을 위해 상호 협력하기 위한 것으로,"
"635","<U+00A0> - 제주특별자치도는 협약에 따라 기업이 일자리 창출에 참여할 수 있도록 행·재정적 지원과 각종 규제 개선에 앞장서고,"
"636","<U+00A0> - 제주지역경제단체협의회 소속 기업들은 장애인 의무고용 준수 등 취업취약계층이 사회진출에 도움을 줄 수 있도록 1사 1도민 채용을 위한 일자리 창출에 적극 노력한다."
"637","■ 원희룡 제주특별자치도지사는 개막식에 참석해 협약식 종료 후 구직자와 참여기업을 직접 격려할 예정이다."
"638","■ 제2공항 기본계획 반영 과제 발굴을 위한 도민공청회가 오는 23일 오후 2시부터 4시까지 제주도체육회관 2층 세미나실에서 열린다."
"639","<U+274D> 이는 도민 이익을 극대화하고 제주 지역의 상생 발전 방안을 제2공항 기본계획에 반영할 수 있도록 현장 의견을 수렴하기 위해 마련된 자리다."
"640","<U+274D> 원희룡 제주특별자치도지사는 지난 20일 제2공항 기본계획 반영 과제 발굴을 위한 브리핑을 진행하며 “제주도민의 다양한 의견을 수렴해 도민의 이익과 제주의 미래 발전 구상들이 제2공항 기본계획에 최대한 반영될 수 있도록 도민 사회의 뜻과 지혜를 모아 나가겠다”고 밝힌 바 있다."
"641","■ 공청회에서는 국토연구원 이범현 박사로부터 기본계획 반영 과제(안)에 대한 설명을 듣고 기본계획 반영 과제 발굴 자료 설명에 따른 질의, 진행상황 공유 등이 이뤄진다."
"642","<U+274D> 이 자리에는 제주도청 태스크포스(TF)팀 관련 부서장을 비롯한 기본계획 용역진인 류경돈 포스코건설 부장, 용역을 의뢰한 국토부 관계자 등도 함께 참석한다."
"643","■ 한편 제주특별자치도는 지난 20일 기본계획 반영 과제(안)을 공개하고, 6월 18일까지 홈페이지와 공항확충지원단과 주민소통센터, 우편 등을 통해 도민 의견을 수렴 중이다."
"644","* [붙임] 제2공항 기본계획 반영과제 발굴 위한 도민공청회 개최 계획"
"645","<U+2751> 원희룡 제주특별자치도지사가 21일, 가격 하락 및 소비 부진으로 어려움을 겪고 있는 제주광어 양식어업인들을 위해 현장소통에 나섰다."
"646","<U+274D> 원희룡 지사는 이날 행원육상양식단지(구좌읍 행원리 소재)와 영어조합법인 해연(구좌읍 한동리 소재)을 순차적으로 방문해,"
"647","- 광어양식 어업인들과 간담회를 갖고 건의 및 애로사항을 청취했다."
"648","<U+274D> 이어, 제주해양수산연구원 수산물안전센터로 자리를 옮겨 광어양식 관계자들과 도시락 간담회를 갖고 최근의 양식광어 위기상황에 대한 문제점 진단 및 대책을 집중적으로 논의했다."
"649","<U+2751> 이 날 원희룡 지사는 오전 10시 30분 행원육상양식단지 내 세광수산(대표 강명주, 행원육상양식단지 협의회장)을 먼저 찾아 양식시설을 직접 둘러보고,"
"650","- 행원육상양식단지 내 광어양식 어업인들과의 현장 대화를 통해 양식과정에서 발생하는 문제점과 건의사항 등을 청취했다."
"651","<U+274D> 간담회에서 강명주 행원육상양식단지 협의회장은 가격하락에 대한 행정의 지원 대책과 함께 데크시설 설치 등을 요청했으며,"
"652","<U+274D> 한용선 제주어류양식수협 조합장은 도에서 지원하는 지역농어촌진흥기금과 관련, 어가들이 담보력 부족으로 인해 대출에 어려움을 겪고 있다고 토로하면서 긴급 대책을 건의했다."
"653","<U+274D> 원희룡 지사는 이에 “광어양식 어업인들의 어려움을 감안해 농어촌진흥기금 특별 융자 특례보증에 대해서도 검토하겠다”고 밝혔다."
"654","<U+2751> 원희룡 지사는 이어 황금광어 생산업체인 영어조합법인 해연(대표 서종표)을 방문해, 황금광어* 생산 새로운 기술개발 및 양식현황을 둘러봤다."
"655","* 황금광어: 영어조합법인 해연에서 2009년도 종묘생산 과정에 황금광어 발견 후 육종 연구를 시작했으며, 2015년 4월과 8월에 전국 최초로 황금광어 발현에 성공하면서 현재 1,500마리의 황금광어를 사육하고 있다."
"656","<U+274D> 원희룡 지사는 해연을 방문한 자리에서 “황금광어가 미국 등 외국으로 수출되는 광어양식의 모범적인 사례인 만큼, 경쟁력 있는 광어를 생산·개발하고 발전시키기 위한 노력도 필요하다”고 말했다."
"657","<U+2751> 원희룡 지사는 해연에 이어, 제주해양수산연구원 수산물안전센터에서 광어양식 어업인과의 도시락 간담회를 갖고, 광어산업 전반에 대한 대책을 논의했다."
"658","- 2시간 가량 진행 된 도시락 간담회에는 제주어류양식수협 관계자 및 광어양식 어업인, 국립수산과학원 관계자, 제주대학교 교수 등이 참석했다."
"659","<U+274D> 간담회에서는 제주광어 소비부진과 가격하락으로 어려움을 겪고 있는 광어양식 어업인들의 건의 및 애로사항 청취,"
"660","- 광어양식 산업의 경쟁력 제고방안에 대해 의견을 듣고 대책을 모색하는 자리로 진행됐다."
"661","<U+2751> 원희룡 지사는 도시락 간담회에서 “최근 소비부진, 경쟁 심화 등으로 인해 생산원가도 확보하지 못하고 있을뿐만 아니라 향후 전망도 불투명해 광어양식 어가들의 시름과 고통이 크다는 점 잘 알고 있다”면서 “행정에서도 위기상황이라는 생각으로 특단의 노력을 하겠다”고 밝혔다."
"662","<U+274D> 특히, “앞으로의 대책을 마련함에 있어서 행정과 양식어가, 관계기관들이 머리를 맞대 체계적으로 다 방면에서 노력과 지원을 통해 위기를 극복해 나가자”고 관계부서에 주문했다."
"663","<U+274D> 무엇보다 “이번 기회를 전화위복이 될 수 있도록 투자나 인력, 기구, 제도 등 후속논의를 짜임새 있게 추진하자”고 강조했다"
"664","<U+274D> 도시락 간담회에서는 위기 극복을 위한 광어 양식 어가들 스스로의 자구노력이 필요하다는 의견이 잇달아 제시됐으며, ▲새로운 어종 연구·확대 ▲유통구조 변화 ▲백신 개발 ▲제주 광어 브랜드화 ▲광어 검역검사 강화 ▲가공산업 발전 등의 의견도 이어졌다."
"665","<U+274D> 한용선 제주어류양식수협 조합장은 “제주광어의 안전성 확보와 소비 촉진이 무엇보다 시급한 과제이므로, 조합이 직접 유통 및 마케팅 전면에 나서겠다”며 “이달 말 모든 양식어가들이 참여하는 결의대회를 열어 책임보상제 실시, JQ인증제 실시 등도 논의하겠다”고 말했다."
"666","<U+2751> 한편, 제주특별자치도는 제주광어의 경쟁력 확보를 위해 ▲양식광어의 군납사업 확대 ▲대학축제 무료시식 등을 통한 제주광어 홍보 ▲가공품 유통으로 소비영역 확대 ▲양식광어 안전성 지도·단속 ▲광어 암·수 판별기 도입 등을 추진하고 있다."
"667","■<U+00A0>원희룡 제주특별자치도지사는 21일 “수익 노선과 비수익 노선으로 나눠 서비스를 개선하는 것은 준공영제 도입 취지와 맞지 않는다”며 “앞으로는 이용객 수요와 만족에 초점을 맞춰 대중교통 서비스를 개선해야 한다”고 강조했다."
"668","■<U+00A0>원희룡 지사는 이날 오전 8시 30분 제주도청 본관 2층 삼다홀에서 ‘대중교통 서비스 개선’을 주제로 주간정책 조정회의를 주재하며 이같이 당부했다."
"669","■<U+00A0>원 지사는 “비수익 노선은 기업 속성상 배차할 수 없는 부분이 있기 때문에 공영버스를 투입하게 된 것”이라며 “앞으로는 수요가 있냐 없냐에 초점을 맞춰서 ‘수요맞춤형’으로 대중교통을 개선할 수 있어야 한다”고 말했다."
"670","<U+274D> 이어 “대중교통 체계 개편 후 2년여 간의 운행 경험을 통해 노선과 배차의 수요 여부에 따라 조정 기간을 둘 수 있는데 그 방향과 시점, 대안에 대한 비용 산출을 근거로 명확히 고지해서 정리할 수 있어야 한다”고 덧붙였다."
"671","<U+274D> 수요자 중심의 서비스 개선방안에 대해서는 “상설 논의기구를 구성해 시간을 두고, 순차적으로 조정해나간다면 친절도 뿐만 아니라 만족도를 높일 수 있다”고 조언했다."
"672","<U+274D> 원 지사는 “수요에 대한 판단과 노선 반영 등은 교통항공국과 제주연구원 차원에서만 논의하는 것이 아닌 현업이나 전문가, 주민 등 당사자들의 의견을 충분히 듣고 의사결정체계를 갖춰 신중하게 결정할 수 있어야 한다”고 당부했다."
"673","■<U+00A0>원희룡 지사는 준공영제의 효율적 운영을 위한 조언도 건넸다."
"674","<U+274D> 그는“준공영제 도입은 교통카드 제공 등 어르신 복지, 시내외 버스요금 단일화를 통해 지역균형차원의 복지를 제공한 측면과 임금체계 및 운송자의 처우 개선 등 버스 근로자의 복지를 유도하기 위한 것”이며 “도민들의 참여와 운수 종사자의 친절도 향상을 위해 정책적으로 채택하고 비용 지출이 불가피했던 부분이 있었다”고 설명했다."
"675","<U+274D> 이어 “운송조합과 노조와 함께 머리를 맞대 불합리한 부분에 대한 조정과 경영 개선을 통해 비용을 줄일 수 있는 방안을 모색할 것”을 주문했다."
"676","<U+274D> 더불어 “대중교통 이용 활성화를 위해서는 통학과 출퇴근의 수요를 더 끌어들일 수 있어야 한다”며 “일회성, 형식적인 이벤트보다는 다람쥐 버스나 일인용 모빌리티(Mobility) 운행 등 보다 현실적인 대안을 통해 이용객을 늘리고 수익을 보전할 수 있는 방안을 마련할 것”을 요청했다."
"677","■<U+00A0>한편 이날 주간정책 조정회의는 버스업계<U+2024>노조, 교통방송 관계자가 함께 참석해 대중교통 친절도 향상과 이용 활성화를 위한 토론을 진행했다."
"678","<U+274D> 대중교통 친절도 향상을 위해 △운송사업자 서비스 평가 강화 △인센티브 및 페널티 확대 △친절교육 및 캠페인 전개 등이 거론됐으며,"
"679","<U+274D> 이용활성화를 위해 △대중교통 이용의 날 운영 △관광객 전용 정기권 도입 등의 의견이 제시됐다."
"680","<U+2751> 원희룡 제주특별자치도지사는 오는 21일 제주광어 소비부진과 가격하락으로 양식 어업인들의 어려움이 가중됨에 따라, 현장의 목소리를 경청해 대책을 마련하기 위한 현장 소통 행보에 나선다."
"681","<U+2751> 원희룡 지사는 이날 오전 10시30분 구좌읍 행원리에 위치한‘행원육상양식단지’에 이어 11시30분 구좌읍 한동리 소재 ‘영어조합법인 해연’ 양식 현장을 방문한다."
"682","<U+274D> 광어양식 생산 현장을 둘러보고 현장의 목소리를 듣기 위해서 행원육상양식단지협의회 회원들과의 대화시간도 갖는다."
"683","<U+274D> 전국 최초로 황금광어를 생산해 수출하고 있는 ‘영어 조합법인 해연’도 방문해 양식산업의 새로운 발전 방향에 대해 업계와 의견을 나눈다."
"684","<U+2751> 낮 12시부터는 제주해양수산연구원 광어연구센터에서 광어 양식 어업인들과 도시락 간담회를 진행할 계획이다."
"685","<U+274D> 간담회에서는 제주광어 소비부진과 가격하락으로 어려움을 겪고 있는 양식 어업인들의 애로사항을 청취하고 광어 양식 산업의 경쟁력 제고방안에 대해서 대화를 나누면서 제주광어 경쟁력 제고방안을 함께 모색한다."
"686","<U+2751> 특히 이날 양식업계 현장방문은 제주 광어의 경쟁력이 노르웨이산 연어와 일본산 방어에 밀려 큰 위기를 맞게 된 근본 원인을 진단하고, 국가<U+2027>지방 정부<U+2027>양식업계 차원의 역할 분담 방안도 논의하기 위한 자리가 될 전망이다."
"687","<U+F071> 제주특별자치도는 지난 5월 17일 도 본청 백록홀에서‘제주특별자치도 4차 산업혁명위원회’회의를 개최하였다."
"688","<U+F071> 이번 회의에서는 한영수 미래전략과장이‘제주특별자치도 4차 산업혁명 대응 기본계획(안)’에 대한 보고에 이어, 제주창조경제혁신센터 전정환 센터장과 최도인 메타 기획컨설팅 본부장이‘4차 산업혁명시대 제주의 미래와 실천방안’에 대한 주제 발표와 이에 대한 위원들간의 토론시간을 가졌다."
"689","<U+F071> 원희룡 제주특별자치도지사는 이날 회의에서 4차 산업혁명 시대는 먼 미래의 얘기가 아니라 이미 우리 생활속에 자리잡고 있으며, 우리가 숙명적으로 받아들여야 할 도전이자 기회이므로 현재의 변화에 적응하고 미래에 대비하는 자세로 도민에게 와닿는 도민중심의 계획수립과 실천과제를 발굴하고 추진할 것을 당부하였다."
"690","<U+F071> 그리고 공동위원장인 최성진 코리아스타트업포럼 대표는 작년‘제주 4차 산업혁명위원회’가 구성된 후 운영되어 오면서 도내외 위원을 막론하고 모두가 자신들의 갖고 있는 경험과 능력을 제주의 미래를 위해 기여하겠다는 의지가 강하며, 오늘 발표된‘제주 4차 산업혁명 기본계획(안)’에 대해서도 앞으로 관심을 갖고 조언을 아끼지 않겠다고 밝혔다."
"691","<U+F071> 한편, 이날 토론에서는 빅데이터를 활용한 정책발굴의 중요성과 수요자에게 폭넓은 공공데이터의 개방과 공유 그리고 코딩교육 등 미래인재 양성을 위한 특화된 교육의 필요성, 단순 노동인력보다 신산업발전에 파급효과가 훨씬 큰 ICT 분야 등의 고급 해외인재의 유입전략 등 제주의 미래를 위한 다양한 의견제시와 함께 열띤 토론의 벌어졌다."
"692","<U+F071> 노희섭 미래전략국장은 앞으로 위원회 회의뿐만 아니라, 도민공감 세미나 개최를 통해‘제주특별자치도 4차 산업혁명 대응 기본계획’에 대한 폭넓은 의견 수렴과 반영으로 계획의 완성도를 높이고 제주 산업생태계에 맞는 과제발굴을 위해 노력해 나갈 예정이라고 밝혔다."
"693","■ 제주 제2공항 기본계획 반영 과제 발굴을 위해서 1개월간 광범위하게 도민 의견을 듣는다."
"694","■ 제주특별자치도는 도민 이익을 극대화하고 제주 지역의 상생 발전 방안을 제2공항 기본계획에 반영하기 위해, 도민 의견을 청취해 자체 과제 발굴에 나선다고 밝혔다."
"695","■ 이를 위해 도에서는 기본계획 반영 과제(안)을 공개하고, 오늘(20일)을 시작으로 6월 18일까지 도민의견 수렴 창구를 운영한다."
"696","<U+274D> 도민 의견은 국토부의 제2공항 개발 기본계획에 우선적으로 반영할 사항과 국가 지원이 필요한 사항, 제주지역 공항운영권 참여방안 및 공항 간 역할분담 사항, 제주지역발전방안 등을 수렴한다."
"697","<U+274D> 도 홈페이지(http://www.jeju.go.kr)와 공항확충지원단(☏064-710-4851~4853), 주민소통센터(☏064-710-4860~4863)를 통해 접수 받고 있으며, 우편 접수(제주시 문연로 6 공항확충지원단)도 가능하다."
"698","<U+274D> 또한 5월말과 6월초, 2차례에 걸친 공청회를 통해 현장 의견도 수렴할 계획이다."
"699","<U+274D> 도에서는 제주 제2공항 기본계획에 반영할 사업을 발굴하기 위해 올해 2월부터 전문가 및 관련부서장 등 30여명으로 테스크 포스(Task Force)팀을 구성해 활동해 왔다."
"700","<U+274D> 테스크 포스팀은 그동안 여섯 차례의 회의와 두 차례의 연찬회 등을 통해 기본계획 반영 과제(안)을 발굴했다."
"701","■ 기본계획 반영 과제(안)에는 우선 반영 사항, 연계 국가 지원 사항, 연계 지역발전 사항, 법적 근거마련을 위한 제도개선 과제 등이 담겼다."
"702","- 제2공항 추진 절차 및 용역 추진계획"
"703","- 제2공항 기본계획반영 과제발굴의 의미와 개발방향"
"704","- 기본계획에 우선 반영해야 할 사항"
"705","- 제2공항 개발과 연계하여 국가 지원이 필요한 사항"
"706","- 제2공항 개발과 연계한 제주지역 발전 방안"
"707","- 법적 근거마련을 위한 제도개선 과제"
"708","<U+274D> 기본계획에 우선 반영할 사항에는
△편입주민 지원 방안 △제주지역 공항운영권 참여 방안 △현 제주공항과 제2공항 역할 분담 필요성 및 고려사항 등을 포함했으며"
"709","<U+274D> 제2공항 개발과 연계해 국가 지원이 필요한 사항엔
△배후도시 관련 지원(안) △성산지역 정주환경 개선 및 기반시설 확충과 관련한 사업(안)을 제시했다."
"710","(※ 지역 주민의 정주환경 개선 및 삶의 질 제고, 지역주민 소득창출, 신성장 기반구축 및 지역경제 활성화를 기본원칙으로 함)"
"711","<U+274D> 제2공항 개발과 연계한 제주지역발전 방안으로는
△공항연계 신교통수단 도입 △대중교통 및 환승중심 여객터미널 구축 △제2공항과 기존 도심 간 연계도로 확충 △항공 산업 인력 육성 계획 등을 포함시켰다."
"712","(※ 제주 4대 권역 균형발전전략 연계 추진을 바탕으로 함)"
"713","<U+274D> 법적 근거마련을 위한 제도개선 과제도 이번 제2공항 기본계획 반영 과제(안)에 담겼다.
현행 법률에 근거한 지원 외에 추가적이고 실효적인 지원 대책마련을 위한 제도개선(제2공항 개발사업 예정지역 주민 및 소음피해지역 주민 대상)과 공항운영권 참여 위한 제도개선 과제 등이다."
"714","■ 원희룡 제주특별자치도지사는 제2공항 기본계획 반영 과제 발굴을 위한 도민 의견 수렴에 착수하면서 “제주 제2공항 추진계획에는 도민의 권리와 이익, 도 전체의 상생발전을 위한 청사진이 반영돼야 한다”며, “제주의 미래와 도민 이익을 위한 보다 실질적인 의견들이 발굴될 수 있도록 노력 하겠다”고 강조했다."
"715","<U+274D> 아울러 “제2공항 발전 방안이 도민 의견에 달린 만큼 앞으로‘도민의 공항’으로 추진될 수 있도록 도민들의 뜻과 지혜를 모아나가겠다”고 밝혔다."
"716","■ 한편 국토교통부는 오는 6월 23일까지 기본계획 용역을 종료한 후, 관계기관 및 제주도와의 협의를 거쳐 올해 하반기에 기본계획을 최종 고시할 계획이다."
"717","【별첨】제2공항 기본계획 반영 과제(안) 1부."
"718","■ 원희룡 제주특별자치도지사가 지난 18일 오전 케이팝(K-POP) 롤러장에서 시설보호아동들과 즐거운 시간을 함께했다."
"719","■ 제주특별자치도는 제주시 소재 롤러장에서 시설보호아동들의 문화생활 증진을 위해 ‘2019 동심한마당’을 개최했으며, 이날 깜짝 손님으로 원희룡 지사가 방문해 미래의 꿈나무인 아이들을 격려하고 응원했다."
"720","○ 원희룡 지사는 또한, 아이들과 함께 롤러를 배우는 등 아이들의 건전한 문화생활을 같이했다."
"721","■ 원희룡 지사는 이날 아이들에게 “오늘의 행복하고 신났던 기억을 간직했다가, 울적한 날 떠올리면 기분이 나아질 것”이라며 “좋은 꿈, 좋은 생각을 쑥쑥 키워가길 바란다”고 전했다."
"722","■ ‘너는 반짝반짝 빛나는 별이야’라는 주제로 마련된 ‘2019 동심한마당’에는 원희룡 지사를 비롯해 시설보호아동 및 시설관계자 등 50여 명이 참석했다."
"723","■ 한편, 제주특별자치도에서는 5개 아동양육시설이 운영되고 있으며, 4개 시설이 행사에 참여했다.<U+00A0>"
"724","■ 제주특별자치도청 여성공직자회 ‘참꽃회’(회장 양영숙)는 지난 18일 회원 및 가족 등 80여명이 참여한 가운데 ‘가족과 함께하는 힐링 나들이’ 행사를 가졌다."
"725","<U+274D> 이는 5월 ‘가정의 달’을 맞아 가족과 함께하는 시간을 통해 서로의 소중함을 깨닫고 마음을 나누며 진정한 소통의 시간을 갖기 위해 마련됐다."
"726","■ 이들은 먼저 한림읍 정물오름 앞에 위치한 탐나라 공화국을 찾았다."
"727","<U+274D> 이곳을 설립한 강우현 대표이사의 해설을 들으며 많은 사람들의 기증과 재활용품들로 탄생한 배경을 확인했다. 재활용품으로 완성된 작품을 감상하며 물건의 소중함을 깨닫기도 했다."
"728","■ 이어 농촌체험마을 낙천리 아홉굿 마을을 방문해 피자만들기 체험을 진행하며 함께 요리하고 맛보며 화합의 시간을 가졌다."
"729","■ 행사후에는 현장에서 체험 수기를 발표하며 최우수상(1명), 우수상(2명), 장려상(3명) 등을 선정하고 총 6명의 가족에게 소정의 상금을 전달했다."
"730","■ 이날 공직자 가족들은 도지사 집무실을 찾아 원희룡 도지사와 깜짝 만남의 시간을 가지기도 했다."
"731","■ 양영숙 회장은 “바쁜 일상으로 가족과 많은 시간을 보내지 못하는 공직자들을 위해 이번 프로그램을 마련했다”며 “앞으로도 삶의 원동력이 되는 가족의 의미를 되새기고 함께 힐링할 수 있도록 다양한 체험 프로그램을 선보이겠다”고 말했다."
"732","□<U+00A0>제주특별자치도가 도내 공공갈등 관리의 전문성 확보를 위해 갈등관리전문기관과 손을 잡는다."
"733","<U+274D> 제주도는 6월 11일 도청 삼다홀에서 한국행정연구원(원장 안성호)과 갈등관리 및 행정전반에 대한 업무협약을 체결한다고 16일 밝혔다."
"734","<U+274D> 협약식에는 제주도청에서 원희룡 제주특별자치도지사와 한국행정연구원 안성호 원장이 직접 참석해 협약서에 서명할 계획이다."
"735","□<U+00A0>한국행정연구원은 향후 ▲도의 공공갈등 관련 자문▲공직자 갈등조정 역량 강화 교육 지원▲정책과제 발굴 및 제안 등의 역할을 하게 된다."
"736","<U+274D> 도는 업무협약 이후 한국행정연구원의 갈등관리 전문가 인적 풀을 활용하여 갈등관리 자문단을 구성한 뒤 사업담당자들의 공공갈등 해결 노력을 지원할 계획이다."
"737","□<U+00A0>이번 갈등관리 전문기관과의 업무협약은 지난 2월 발표된‘2019년 갈등관리 종합계획’에 따른 것으로, 체계적인 공공갈등 관리 시스템 구축 및 공직자 갈등역량을 강화하기 위한 다양한 교육프로그램을 운영하는 과정에서 전문성을 강화하기 위한 방안의 하나이다."
"738","□<U+00A0>한국행정연구원은 1991년 개원한 정부출연 연구기관으로, 2010년부터 국무조정실 갈등관리 전문기관으로 지정되어 매년 정부부처, 지자체 및 공공기관 등을 대상으로 한 갈등관리 역량강화 교육을 실시하고 있다."
"739","<U+274D> 이외에도 규제, 조직관리, 정부업무평가 등에서도 전문기관으로 지정되어 왕성한 활동을 하고 있는 행정전문 연구기관이다."
"740","□<U+00A0>제주도 관계자는"
"741","<U+274D> “이번 업무협약을 통해 한국행정연구원의 갈등분야에서의 선진적인 관리 기법과 노하우를 배워 공공정책에 따른 갈등을 최소화시켜 사회적 비용을 줄이고 도민이 신뢰할 수 있는 도정을 만들 수 있도록 더욱 노력하겠다.”라고 말했다."
"742","■ 원희룡 제주특별자치도지사는 15일 “을지태극연습이 형식적이고 수동적으로 참여하는 것이 아닌, 선제적인 훈련을 할 수 있는 좋은 기회로 삼아달라”며 각 실·국장과 관계자들에게 적극적인 훈련 참여를 독려했다."
"743","■ 원희룡 지사는 이날 오후 제주도청 탐라홀에서 열린 ‘2019년 을지태극연습 준비보고 회의’를 주재하며 이같이 말했다."
